sample_id,condition,batch
ab2a89cd-3706-4aa5-9d93-e32fc904c51d,0,TCGA-LUSC
ab355a1f-46ca-43c6-a125-9a9bd55fea4f,0,TCGA-LUSC
ab3c7d7c-7ad0-4f26-9991-ddd288598936,2,TCGA-LUAD
ab4e14a2-8830-4d2d-b81d-67af9ee25451,2,CPTAC-3
ab646f7c-46a6-45a9-91ae-43f5d230b542,0,TCGA-LUSC
ac0cce4d-b7b5-4d6d-a04d-ce9c785ad124,2,CPTAC-3
ac44ccf1-663a-409a-9b78-a1764106e29f,2,CPTAC-3
ac8b8255-d058-4a35-9aa3-7b541e6ece12,2,TCGA-LUSC
ac98f8d2-fdc4-4925-8fce-7e86d7b89dec,1,TCGA-LUAD
ac9d6b6d-37e9-44ca-9f70-0e6351c39341,0,TCGA-LUAD
125a1d73-c62c-4776-85ae-bc50871f22bf,0,TCGA-LUSC
ace52699-f049-4a11-ab3d-ce3719c62e41,0,TCGA-LUAD
ad62355a-f287-49b2-84a9-64c0f5847c20,1,TCGA-LUAD
ad636e79-be59-4821-8303-7d2e7389b22f,2,TCGA-LUAD
ad6ae9d2-c6f5-4686-9b3c-45ea130493f3,0,TCGA-LUAD
ad6e5895-38f8-4764-be16-652c391b7272,2,CDDP_EAGLE-1
ad9e9cb3-e564-4902-a227-40336769913f,1,CPTAC-3
ada4ae4b-1959-49a1-b3db-59675ba2ade0,0,TCGA-LUSC
ae037177-0902-4c94-8e3c-632e240d3945,0,TCGA-LUAD
ae6c036e-8e10-498c-90dd-7eba6a20e7a1,0,TCGA-LUSC
aea9f25d-825e-4e70-bef2-260b514b5f86,2,TCGA-LUSC
aed4a5df-f3ea-42de-b060-4b2167a3e3fc,0,TCGA-LUSC
af120bf7-ea0a-4b04-a1ee-e9355b80262d,2,CPTAC-3
af2c7fc6-003d-4c41-bba5-95a005699a57,0,TCGA-LUAD
af4b1495-7078-4042-8d0d-1769b7dcc53d,0,TCGA-LUSC
af5402f0-30d1-4fab-9d41-3b25bc28fc20,0,TCGA-LUSC
af5b21cf-20d9-4fd6-8b56-0636480d4079,1,CPTAC-3
af8d3207-6d11-435c-a131-e831244dc49c,1,CPTAC-3
af8e6a65-3486-4062-a6b9-b95874d8068e,1,CPTAC-3
afa54e2a-f119-4729-9db4-9b98ba17ac44,0,TCGA-LUSC
afa5c7c4-02f8-4417-873c-378937f5fbbb,0,TCGA-LUAD
afcab3fd-65b3-463a-86c7-ca84d580db00,1,TCGA-LUSC
afcfd650-5a30-4fb7-b513-15acdf8d1a78,2,CPTAC-3
affd7574-977c-4b12-a5a3-ecc4b652e1c1,1,CPTAC-3
b06317d0-3cdc-4868-a14c-ab65c698e399,2,APOLLO-LUAD
129f7ee5-6342-4a24-9317-d52462ce6a70,0,TCGA-LUAD
b069556c-1463-4d65-8872-99bdad31fef3,2,CPTAC-3
b06a3383-3a16-4f91-91c4-71cad60dae4b,0,TCGA-LUAD
b080156e-0711-42f5-83c7-a34de25cbba9,0,TCGA-LUAD
b0a1b626-c44b-4a95-b4a4-383fc63f8649,0,TCGA-LUAD
b0b5b05d-f782-449d-94cf-8fd74a4bd30c,2,TCGA-LUAD
b0dc4a18-3099-46fc-a518-9e411c6c15f3,0,TCGA-LUAD
b0ecfe37-573a-4633-9eb3-eaa73de01ade,2,CPTAC-3
b10c8340-94a3-447c-8f8b-d912d6520e39,2,CPTAC-3
b127a551-67ed-46f9-808e-0071e11bec53,2,CPTAC-3
b168c3c0-ed79-4efa-bb3a-8643b0d6730d,1,CPTAC-3
b17e098a-e8a6-4aea-a9d5-8f6c4744cfc6,1,CPTAC-3
b1af869c-458d-43cb-aed9-f785a8b615b8,0,TCGA-LUSC
b2b395be-bc12-416a-9ade-aa8194a84d28,0,TCGA-LUSC
b302f08f-dd61-4f4f-9f8b-6aa9332cb1f4,2,CDDP_EAGLE-1
b33dd45c-8a37-42ef-b52a-fb3ccbaf23a4,2,CPTAC-3
12c6b36b-dcb9-483c-804e-a134ae50f587,2,CDDP_EAGLE-1
b34c4d7a-a671-4726-9696-cbdb51ee26bc,2,EXCEPTIONAL_RESPONDERS-ER
b34c57e4-8afb-4b20-8634-dd38e8e7828d,0,TCGA-LUSC
b36b30ca-7a09-4e2d-b77f-70c1e8816abc,2,CPTAC-3
b3db4bd6-3c19-45a1-9b12-30fdfbf0b4a7,1,CPTAC-3
b404b23e-e198-4e14-baa3-94436bb5f092,2,CPTAC-3
b45e937f-da60-4259-8fa2-e64ee4fdbe95,0,TCGA-LUAD
023a34d9-c000-4053-b695-5b984b4a6fc1,0,TCGA-LUAD
b483cbab-1f42-4c69-afef-7136099ac34e,2,CGCI-HTMCP-LC
b492b42a-5124-4328-a6f0-19a2b78676b7,1,CPTAC-3
b4a3b46f-28ca-45d1-98f1-a6261ad353fa,2,APOLLO-LUAD
b4de06a8-883b-4d02-afc6-d926c588c4ee,0,TCGA-LUAD
b53ceb0c-a338-46e2-a0e6-224dec5ea807,0,TCGA-LUAD
b5b25f89-cd67-44e5-89bd-be2bc1def4d8,0,TCGA-LUAD
b5b3c685-304f-4279-904a-c86c18f61576,2,TCGA-LUAD
12c95903-cae1-4f9f-97c7-05ab05f4fd7f,1,TCGA-LUAD
b5c6258a-8591-4f96-81d5-8ecc931b57a8,1,TCGA-LUAD
b6275344-52a5-4a39-afea-c01b9099c15f,0,TCGA-LUSC
b6a0d742-e7bc-4d67-8014-675e62f1ddd0,0,TCGA-LUAD
b6c69243-9731-4578-b037-ac997cbdc7dc,0,TCGA-LUAD
b6d66063-5c82-4be2-9355-1ba53abbb29b,2,TCGA-LUSC
12d419ee-1f41-40c1-9c75-03fded456055,0,TCGA-LUSC
b7006975-82c2-4fcc-855d-5ef024ef3d4f,0,TCGA-LUAD
b7632f5d-e8ec-4dfb-8431-e9151bf7b451,0,TCGA-LUSC
b770f87e-a9a9-4748-8649-86baf9629dad,0,TCGA-LUSC
b77287b2-6fef-4978-a682-ccf09f1e781a,1,TCGA-LUSC
b7940add-4e68-48fb-8e01-d7ac73fa29fb,2,CPTAC-3
b79b0145-e672-450d-a973-28c698f3fa03,2,CPTAC-3
b7b898c7-f63f-43d3-864a-406e842db2fe,0,TCGA-LUAD
12f5eaa4-9f64-4465-bfa6-3d9307e9f980,1,TCGA-LUAD
b7e3f944-1ed2-4d04-a2dc-bf6ff06b5db7,0,TCGA-LUSC
b835c7c5-837b-4fdc-adf2-f9c8129cef80,1,CPTAC-3
b8497310-afb9-4e44-b643-24ca1e30b858,0,TCGA-LUSC
b89aab0d-e846-48d9-be7b-e4dce168de77,2,APOLLO-LUAD
b8a6b668-0e0d-4a8a-9ee8-9c7b8823fee7,2,APOLLO-LUAD
b91d8293-6331-4f76-98f0-335ebce83539,2,TCGA-LUAD
b9610938-1f47-4556-ae92-794df8ae6401,0,TCGA-LUAD
b9719e93-b44f-4eb3-8fe9-14914e643d57,0,TCGA-LUSC
132bc0ae-2498-4a65-bcb9-1970b70b0df5,2,TCGA-LUSC
ba301b23-12da-4961-b58f-a00587231325,1,CPTAC-3
ba3e1d1e-3193-4770-9c57-b4ff1502af38,0,TCGA-LUAD
ba444c4a-fe85-44b6-855f-b5b5bd7ed749,1,APOLLO-LUAD
badfeadb-409d-46e6-8070-94790893ae4c,0,TCGA-LUSC
bae11f13-84a4-4fe3-b9e4-9d48b74896af,0,TCGA-LUAD
bae501f3-c0ba-4646-8027-0623869176f4,0,TCGA-LUAD
baf31e4e-3c1c-4177-ab3b-c1722364d607,1,CPTAC-3
bb47dbbf-75f5-4bbf-bd1a-ca81383f211b,0,TCGA-LUAD
bb64143e-c48a-45c7-914b-4ec5bcea9e27,1,TCGA-LUAD
bb69e798-8c83-4c12-b622-3155e1972e6f,2,TCGA-LUAD
bb947fec-f1b9-4e90-9529-68bcd9dff068,0,TCGA-LUSC
